timestamp                       , gpu_index, gpu_name                              , gpu_uuid                                , driver_version, pci_bus_id      , total_memory_mib, power_limit_w, performance_state, fan_speed_pct, gpu_util, encoder_util , decoder_util , mem_util, mem_total_mib, mem_used_mib, mem_free_mib, mem_used_ratio    , temperature_c, memory_temp_c, power_w, graphics_clock_mhz, sm_clock_mhz, memory_clock_mhz, pcie_curr_gen, pcie_curr_width, pcie_max_gen, pcie_max_width, pcie_throughput_tx_bytes, pcie_throughput_rx_bytes, throttle_reasons, energy_consumption_mj, matmul_gflops, power_per_gpu_util  , power_per_gflop      , workload_time_s
2026-04-17T01:59:59.798472+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,        0, "[0, 100000]", "[0, 100000]",        0,          4096,         2034,         2061, 0.4968109130859375,            53,              ,   9.964,               1207,         1207,             7001,             4,               4,            4,             16,                     2832,                    30517,                0,              51100547,              ,                     ,                      ,              
2026-04-17T02:00:00.845860+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,        1, "[0, 100000]", "[0, 100000]",        0,          4096,         2468,         1627, 0.6025543212890625,            54,              ,  12.264,                322,          322,             7001,             4,               4,            4,             16,                     3076,                     7666,                4,              51114826,              , 12.264              ,                      ,              
2026-04-17T02:00:01.891018+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,      100, "[0, 100000]", "[0, 100000]",       10,          4096,         2468,         1627, 0.6025543212890625,            54,              ,  14.983,                322,          322,             7001,             4,               4,            4,             16,                      390,                      341,                4,              51128681,              ,  0.14983000000000002,                      ,              
2026-04-17T02:00:02.936288+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,        0, "[0, 100000]", "[0, 100000]",        0,          4096,         2468,         1627, 0.6025543212890625,            53,              ,  10.46 ,               1207,         1207,             7001,             4,               4,            4,             16,                      439,                      341,                0,              51139561,              ,                     ,                      ,              
2026-04-17T02:00:03.984827+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,        0, "[0, 100000]", "[0, 100000]",        0,          4096,         2468,         1627, 0.6025543212890625,            53,              ,   9.977,               1207,         1207,             7001,             4,               4,            4,             16,                      341,                      390,                0,              51149369,              ,                     ,                      ,              
2026-04-17T02:00:05.029828+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,        0, "[0, 100000]", "[0, 100000]",        0,          4096,         2468,         1627, 0.6025543212890625,            53,              ,   9.972,               1207,         1207,             7001,             4,               4,            4,             16,                      488,                      488,                0,              51162289,          0.0 ,                     ,                      ,             3.0
2026-04-17T02:00:06.074678+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,       30, "[0, 100000]", "[0, 100000]",       18,          4096,         2468,         1627, 0.6025543212890625,            54,              ,  14.965,               1095,         1095,             7001,             4,               4,            4,             16,                      488,                      439,                0,              51177026,          0.0 ,  0.49883333333333335,                      ,             3.0
2026-04-17T02:00:07.119521+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,       30, "[0, 100000]", "[0, 100000]",       19,          4096,         2468,         1627, 0.6025543212890625,            54,              ,  14.885,               1035,         1035,             7001,             4,               4,            4,             16,                      488,                      439,                4,              51193129,          0.0 ,  0.49616666666666664,                      ,             3.0
2026-04-17T02:00:08.164593+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,       29, "[0, 100000]", "[0, 100000]",       16,          4096,         2468,         1627, 0.6025543212890625,            54,              ,  14.884,               1192,         1192,             7001,             4,               4,            4,             16,                      878,                      390,                0,              51205392,       2802.84,  0.5132413793103449 , 0.005310328095788557 ,             3.0
2026-04-17T02:00:09.209575+00:00,         0, NVIDIA GeForce RTX 3050 4GB Laptop GPU, GPU-c9d5fcee-3088-058b-1e66-154610dbc8a0, 580.126.18    , 00000000:01:00.0,             4096,              ,                 0,              ,        0, "[0, 100000]", "[0, 100000]",        0,          4096,         2468,         1627, 0.6025543212890625,            53,              ,   9.975,               1207,         1207,             7001,             4,               4,            4,             16,                      488,                      390,                0,              51216279,       2802.84,                     , 0.0035588902684420085,             3.0
